School,Current URN,School establishment number,Measure,Measurement date,Academic year,Year group,Value,Unit,Source URL
Bishop Perrin Church of England Primary School,102918,3183322,Reported capacity excluding nursery,2025-05,2024/25,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Bishop Perrin Church of England Primary School,102918,3183322,Pupils by curriculum year,2026-01,2025/26,Reception,26,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Bishop Perrin Church of England Primary School,102918,3183322,Pupils by curriculum year,2026-01,2025/26,Year 1,29,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Bishop Perrin Church of England Primary School,102918,3183322,Pupils by curriculum year,2026-01,2025/26,Year 2,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Bishop Perrin Church of England Primary School,102918,3183322,Pupils by curriculum year,2026-01,2025/26,Year 3,29,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Bishop Perrin Church of England Primary School,102918,3183322,Pupils by curriculum year,2026-01,2025/26,Year 4,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Bishop Perrin Church of England Primary School,102918,3183322,Pupils by curriculum year,2026-01,2025/26,Year 5,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Bishop Perrin Church of England Primary School,102918,3183322,Pupils by curriculum year,2026-01,2025/26,Year 6,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Buckingham Primary School,102904,3182035,Pupils excluding nursery,2022-05,2021/22,,519,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Buckingham Primary School,102904,3182035,Reported capacity excluding nursery,2022-05,2021/22,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Buckingham Primary School,102904,3182035,Pupils excluding nursery,2023-05,2022/23,,501,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Buckingham Primary School,102904,3182035,Reported capacity excluding nursery,2023-05,2022/23,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Buckingham Primary School,102904,3182035,Pupils excluding nursery,2024-05,2023/24,,456,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Buckingham Primary School,102904,3182035,Reported capacity excluding nursery,2024-05,2023/24,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Buckingham Primary School,102904,3182035,Pupils excluding nursery,2025-05,2024/25,,398,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Buckingham Primary School,102904,3182035,Reported capacity excluding nursery,2025-05,2024/25,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Buckingham Primary School,102904,3182035,Pupils by curriculum year,2026-01,2025/26,Reception,29,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Buckingham Primary School,102904,3182035,Pupils by curriculum year,2026-01,2025/26,Year 1,39,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Buckingham Primary School,102904,3182035,Pupils by curriculum year,2026-01,2025/26,Year 2,46,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Buckingham Primary School,102904,3182035,Pupils by curriculum year,2026-01,2025/26,Year 3,53,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Buckingham Primary School,102904,3182035,Pupils by curriculum year,2026-01,2025/26,Year 4,50,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Buckingham Primary School,102904,3182035,Pupils by curriculum year,2026-01,2025/26,Year 5,71,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Buckingham Primary School,102904,3182035,Pupils by curriculum year,2026-01,2025/26,Year 6,68,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Carlisle Infant School,102883,3182001,Pupils excluding nursery,2022-05,2021/22,,244,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Carlisle Infant School,102883,3182001,Reported capacity excluding nursery,2022-05,2021/22,,270,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Carlisle Infant School,102883,3182001,Pupils excluding nursery,2023-05,2022/23,,245,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Carlisle Infant School,102883,3182001,Reported capacity excluding nursery,2023-05,2022/23,,270,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Carlisle Infant School,102883,3182001,Pupils excluding nursery,2024-05,2023/24,,242,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Carlisle Infant School,102883,3182001,Reported capacity excluding nursery,2024-05,2023/24,,270,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Carlisle Infant School,102883,3182001,Pupils excluding nursery,2025-05,2024/25,,230,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Carlisle Infant School,102883,3182001,Reported capacity excluding nursery,2025-05,2024/25,,270,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Carlisle Infant School,102883,3182001,Pupils by curriculum year,2026-01,2025/26,Reception,51,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
